epoch,train_loss,val_loss,train_acc,val_acc
1,0.6901666948161637,0.6903803269380699,0.785,0.8
2,0.6872306044669578,0.6876534656652268,0.785,0.8
3,0.684338236618467,0.6849660033602869,0.785,0.8
4,0.6814889234026216,0.6823173510475251,0.785,0.8
5,0.6786820022667268,0.6797069244010041,0.785,0.8
6,0.6759168162446767,0.6771341439737728,0.785,0.8
7,0.6731927142101016,0.6745984354121006,0.785,0.8
8,0.6705090511118085,0.6720992296550026,0.785,0.8
9,0.6678651881918946,0.6696359631193397,0.785,0.8
10,0.6652604931869509,0.6672080778708116,0.785,0.8
11,0.6626943405128002,0.6648150217811807,0.785,0.8
12,0.6601661114332354,0.6624562486720896,0.785,0.8
13,0.6576751942132416,0.6601312184458544,0.785,0.8
14,0.6552209842572073,0.6578393972036296,0.785,0.8
15,0.6528028842326388,0.6555802573513587,0.785,0.8
16,0.6504203041799028,0.6533532776939317,0.785,0.8
17,0.6480726616085314,0.6511579435179814,0.785,0.8
18,0.6457593815806258,0.6489937466637542,0.785,0.8
19,0.6434798967819007,0.6468601855865009,0.785,0.8
20,0.6412336475809058,0.6447567654078261,0.785,0.8
21,0.639020082076968,0.6426829979574439,0.785,0.8
22,0.6368386561373812,0.6406384018057804,0.785,0.8
23,0.6346888334243793,0.6386225022878632,0.785,0.8
24,0.6325700854124068,0.6366348315189289,0.785,0.8
25,0.630481891396205,0.6346749284021828,0.785,0.8
26,0.6284237384902129,0.6327423386291264,0.785,0.8
27,0.6263951216197762,0.6308366146728703,0.785,0.8
28,0.6243955435046444,0.6289573157748337,0.785,0.8
29,0.622424514635222,0.6271040079252272,0.785,0.8
30,0.6204815532420301,0.6252762638377013,0.785,0.8
31,0.6185661852588176,0.6234736629185339,0.785,0.8
32,0.616677944279746,0.6216957912307197,0.785,0.8
33,0.6148163715110642,0.619942241453309,0.785,0.8
34,0.612981015717665,0.618212612836333,0.785,0.8
35,0.6111714331649074,0.6165065111516448,0.785,0.8
36,0.6093871875560717,0.6148235486399832,0.785,0.8
37,0.6076278499657972,0.6131633439545634,0.785,0.8
38,0.6058929987698412,0.6115255221014803,0.785,0.8
39,0.6041822195714789,0.609909714377201,0.785,0.8
40,0.6024951051248537,0.6083155583034068,0.785,0.8
41,0.6008312552555679,0.6067426975594392,0.785,0.8
42,0.5991902767787949,0.6051907819125841,0.785,0.8
43,0.5975717834151744,0.6036594671464237,0.785,0.8
44,0.5959753957047439,0.602148414987472,0.785,0.8
45,0.5944007409191436,0.6006572930302942,0.785,0.8
46,0.5928474529723186,0.5991857746613082,0.785,0.8
47,0.5913151723299296,0.5977335389814448,0.785,0.8
48,0.589803545917677,0.596300270727844,0.785,0.8
49,0.5883122270287202,0.5948856601947452,0.785,0.8
50,0.5868408752303736,0.5934894031537266,0.785,0.8
51,0.5853891562702443,0.592111200773434,0.785,0.8
52,0.5839567419819682,0.5907507595389372,0.7833333333333333,0.8
53,0.5825433101906868,0.5894077911708335,0.7833333333333333,0.8
54,0.5811485446184056,0.5880820125442224,0.7833333333333333,0.8
55,0.5797721347893572,0.5867731456076545,0.7833333333333333,0.8
56,0.5784137759354891,0.5854809173021607,0.7833333333333333,0.8
57,0.577073168902185,0.5842050594804555,0.7833333333333333,0.8
58,0.5757500200543207,0.582945308826399,0.7833333333333333,0.8
59,0.5744440411827515,0.5817014067748029,0.7833333333333333,0.8
60,0.5731549494113127,0.5804730994316535,0.7833333333333333,0.8
61,0.5718824671044179,0.5792601374948201,0.7833333333333333,0.8
62,0.5706263217753266,0.5780622761753128,0.7833333333333333,0.8
63,0.569386245995146,0.5768792751191485,0.7833333333333333,0.8
64,0.5681619773026334,0.5757108983298767,0.7833333333333333,0.8
65,0.5669532581148482,0.5745569140918143,0.7833333333333333,0.8
66,0.5657598356387106,0.5734170948940337,0.7833333333333333,0.8
67,0.5645814617835072,0.5722912173551414,0.7833333333333333,0.8
68,0.5634178930743878,0.5711790621488854,0.7833333333333333,0.8
69,0.5622688905668886,0.570080413930622,0.7833333333333333,0.8
70,0.5611342197625127,0.5689950612646699,0.7833333333333333,0.8
71,0.5600136505254,0.5679227965525775,0.7833333333333333,0.8
72,0.558906957000108,0.5668634159623234,0.7833333333333333,0.8
73,0.5578139175305263,0.565816719358472,0.7816666666666666,0.8
74,0.5567343145799442,0.5647825102332977,0.7816666666666666,0.8
75,0.5556679346522831,0.5637605956388929,0.7816666666666666,0.8
76,0.5546145682145124,0.5627507861202696,0.7816666666666666,0.8
77,0.5535740096202515,0.5617528956494666,0.7816666666666666,0.8
78,0.5525460570345727,0.5607667415606652,0.7816666666666666,0.8
79,0.5515305123600044,0.559792144486322,0.7816666666666666,0.8
80,0.5505271811637414,0.5588289282943211,0.7816666666666666,0.8
81,0.5495358726060636,0.5578769200261459,0.7816666666666666,0.8
82,0.5485563993699604,0.556935949836073,0.7816666666666666,0.8
83,0.5475885775919604,0.5560058509313853,0.7816666666666666,0.8
84,0.5466322267941641,0.5550864595136028,0.7816666666666666,0.795
85,0.5456871698174718,0.5541776147207258,0.7816666666666666,0.795
86,0.5447532327560015,0.5532791585704883,0.7816666666666666,0.795
87,0.543830244892692,0.5523909359046126,0.7816666666666666,0.795
88,0.542918038636079,0.5515127943340619,0.7816666666666666,0.795
89,0.5420164494582358,0.5506445841852791,0.7816666666666666,0.795
90,0.5411253158338709,0.5497861584474079,0.7816666666666666,0.795
91,0.5402444791805678,0.5489373727204833,0.7816666666666666,0.795
92,0.5393737838001583,0.5480980851645854,0.7816666666666666,0.795
93,0.5385130768212133,0.5472681564499421,0.7816666666666666,0.79
94,0.5376622081426422,0.5464474497079749,0.7816666666666666,0.79
95,0.5368210303783844,0.5456358304832721,0.7816666666666666,0.79
96,0.5359893988031804,0.5448331666864815,0.7816666666666666,0.79
97,0.5351671712994065,0.5440393285481071,0.7816666666666666,0.79
98,0.5343542083049609,0.543254188573202,0.7816666666666666,0.79
99,0.5335503727621829,0.5424776214969403,0.7816666666666666,0.79
100,0.5327555300677945,0.5417095042410597,0.7816666666666666,0.79
101,0.5319695480238431,0.540949715871158,0.7816666666666666,0.79
102,0.5311922967896353,0.5401981375548347,0.7816666666666666,0.79
