epoch,train_loss,val_loss,train_acc,val_acc
1,0.6719473474615456,0.6720741639841272,0.7683333333333333,0.75
2,0.6522852480932806,0.652592637541521,0.7683333333333333,0.75
3,0.6341332041536407,0.6347017414073567,0.7633333333333333,0.75
4,0.6174031612711076,0.6183294785947924,0.765,0.76
5,0.601974086018969,0.6033182037890632,0.7683333333333333,0.77
6,0.5877419325654594,0.5894766639780051,0.7733333333333333,0.775
7,0.5746254834145015,0.5766366795989082,0.7733333333333333,0.775
8,0.56255168661841,0.5646692028918616,0.77,0.78
9,0.5514515234497951,0.5534830075298786,0.7766666666666666,0.775
10,0.5412601372953175,0.5430173026113851,0.7866666666666666,0.78
11,0.531916189654481,0.5332326106482937,0.79,0.765
12,0.5233627089984055,0.5241046965103058,0.7933333333333333,0.77
13,0.5155489003557368,0.5156204642423501,0.79,0.775
14,0.5084295406138557,0.5077724304787031,0.785,0.775
15,0.5019615345308377,0.5005521173920876,0.7816666666666666,0.78
16,0.4961000249986328,0.4939447256894319,0.7833333333333333,0.775
17,0.4907960519493501,0.48792629865826387,0.7833333333333333,0.775
18,0.4859964658062679,0.48246343344589804,0.7816666666666666,0.775
19,0.48164600187567363,0.4775152709092201,0.7833333333333333,0.77
20,0.4776908231637513,0.4730372089252846,0.7833333333333333,0.775
21,0.4740822621123766,0.4689852112162046,0.7816666666666666,0.78
22,0.4707793643523577,0.4653192614214876,0.7833333333333333,0.78
23,0.4677494720158154,0.4620049824863206,0.7816666666666666,0.78
24,0.4649670558392324,0.4590134054787323,0.7833333333333333,0.78
25,0.4624116289157786,0.4563195865027426,0.7816666666666666,0.78
26,0.4600656374465041,0.45390092245964325,0.7816666666666666,0.78
27,0.45791293997294097,0.45173579173342027,0.7866666666666666,0.78
28,0.45593809564686316,0.44980280345372853,0.7883333333333333,0.78
29,0.45412632219820354,0.44808062571649004,0.79,0.775
30,0.4524637666669221,0.446548168259907,0.79,0.775
31,0.4509377332482107,0.4451848704161051,0.7883333333333333,0.78
32,0.44953668948799685,0.44397095640565354,0.7883333333333333,0.785
33,0.4482500791429769,0.4428876602228369,0.7883333333333333,0.785
34,0.44706808657279384,0.4419175008436455,0.7883333333333333,0.785
35,0.44598149985077046,0.4410446821170242,0.7883333333333333,0.785
36,0.44498174599359847,0.44025562193029927,0.7916666666666666,0.785
37,0.44406106963167685,0.43953951779913536,0.7916666666666666,0.785
38,0.4432127413110896,0.4388887778373085,0.7883333333333333,0.785
39,0.44243115510515924,0.438299137111669,0.7883333333333333,0.785
40,0.44171172466076686,0.4377693586722076,0.7883333333333333,0.785
41,0.44105058554143817,0.437300549861904,0.7866666666666666,0.785
42,0.44044420385186506,0.4368952401929764,0.7866666666666666,0.785
43,0.4398890302122631,0.4365564172338644,0.7883333333333333,0.79
44,0.43938131196924995,0.43628669419678784,0.7883333333333333,0.79
45,0.43891710447212773,0.43608771168855875,0.7883333333333333,0.795
46,0.4384924401957568,0.43595979175388416,0.7883333333333333,0.795
47,0.43810355907635085,0.4359017972782304,0.7866666666666666,0.79
48,0.4377470966844557,0.4359111241774471,0.7883333333333333,0.79
49,0.4374201656424116,0.4359837682450847,0.7883333333333333,0.785
50,0.43712032465771644,0.43611444460846954,0.7883333333333333,0.785
51,0.4368454774803115,0.43629676913860327,0.7866666666666666,0.79
52,0.4365937612346427,0.43652351882571994,0.785,0.79
53,0.4363634688860166,0.4367869695480735,0.785,0.79
54,0.4361530182978302,0.4370792781522132,0.7833333333333333,0.79
55,0.43596095056692263,0.4373928517204304,0.785,0.79
56,0.4357859284970637,0.4377206455713727,0.785,0.79
